employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-95822412,Danielle,Johnson,Male,New York,Buffalo,2016-04-10,Marketing,Marketing Coordinator,Bachelor,73909,Good,No,1985-03-21,2018-08-07
00-42868828,Jeffrey,Doyle,Male,Michigan,Warren,2017-09-04,Marketing,Content Creator,Bachelor,63588,Good,No,1990-11-08,2018-03-03
00-83197857,Patricia,Miller,Male,New York,Rochester,2016-06-03,Customer Service,Support Specialist,High School,60231,Satisfactory,Yes,1983-11-28,2018-03-17
00-13999315,Anthony,Robinson,Male,Michigan,Warren,2016-07-03,Operations,Operations Analyst,Master,55559,Satisfactory,No,1963-06-10,2021-04-27
00-90801586,Anthony,Gonzalez,Female,New York,Rochester,2015-08-25,Operations,Logistics Coordinator,Bachelor,66469,Satisfactory,Yes,1962-12-11,2017-02-17
00-97226012,Amy,Robinson,Female,New York,Rochester,2022-08-03,Marketing,SEO Specialist,High School,86228,Satisfactory,No,1988-12-02,2023-01-30
00-70291817,Lisa,Smith,Male,New York,New York City,2020-10-21,IT,IT Support Specialist,Bachelor,63751,Satisfactory,Yes,1993-04-27,2024-09-08
00-31429110,Helen,Peterson,Female,Michigan,Detroit,2022-02-26,Operations,Inventory Specialist,High School,62249,Excellent,Yes,1984-04-12,2022-08-25
00-30868105,Susan,Rogers,Male,New York,New York City,2017-02-03,Operations,Inventory Specialist,Bachelor,74384,Good,Yes,1976-01-11,2018-10-17
00-22448136,Colin,Abbott,Female,Michigan,Grand Rapids,2018-08-08,Operations,Operations Analyst,Bachelor,73389,Excellent,Yes,1995-12-25,2024-12-14
00-56164955,Lindsay,Blair,Female,New York,New York City,2021-07-15,Operations,Inventory Specialist,High School,60906,Satisfactory,Yes,2002-09-12,2022-01-11
00-71662963,Teresa,Gray,Male,New York,Buffalo,2020-07-20,Operations,Logistics Coordinator,Bachelor,69360,Satisfactory,No,2001-01-04,2021-01-16
00-84093639,Maria,Montgomery,Male,New York,Buffalo,2017-11-10,Customer Service,Help Desk Technician,High School,85052,Satisfactory,Yes,1991-10-23,2018-05-09
00-58537831,Barbara,Bush,Male,New York,Buffalo,2020-01-17,Customer Service,Customer Service Representative,High School,66228,Good,No,1994-01-24,2022-02-25
00-16150444,Jeremy,Roberts,Male,New York,Buffalo,2022-01-30,Operations,Operations Analyst,Master,83883,Satisfactory,No,1995-05-05,2022-07-29
00-41244663,Jesse,Garcia,Female,New York,New York City,2023-04-12,Customer Service,Help Desk Technician,Bachelor,60855,Good,Yes,1978-06-15,2024-01-08
00-70855700,Cynthia,Diaz,Male,New York,Rochester,2021-05-15,Operations,Inventory Specialist,Bachelor,57857,Good,No,2003-12-24,2021-11-11
00-59684848,Jason,Adams,Female,New York,Rochester,2018-12-07,Operations,Inventory Specialist,High School,53349,Excellent,No,1994-08-20,2019-06-05
00-96977837,Deborah,Lynch,Male,New York,Rochester,2016-03-03,Operations,Operations Manager,Master,78986,Good,No,1988-08-06,2019-10-18
00-81691040,Jessica,Martin,Female,New York,Buffalo,2022-05-19,Finance,Financial Analyst,PhD,75102,Satisfactory,Yes,1977-12-02,2022-11-15
00-60929647,Veronica,Bowman,Male,New York,Rochester,2017-07-22,Finance,Accountant,Bachelor,67135,Good,No,1962-08-14,2018-01-18
00-84752529,Gabrielle,Cameron,Male,New York,Rochester,2017-10-10,Finance,Accountant,Bachelor,74039,Satisfactory,No,2001-07-21,2019-06-09
00-17507864,Jeremy,Johnson,Male,New York,Buffalo,2017-04-25,Operations,Inventory Specialist,High School,57153,Good,No,1977-10-20,2021-03-25
00-52339391,Joseph,Clark,Female,New York,Buffalo,2019-12-10,Operations,Logistics Coordinator,Bachelor,60903,Satisfactory,No,1969-03-18,2020-06-07
00-86125617,Nancy,Edwards,Male,New York,New York City,2023-08-27,IT,IT Support Specialist,Bachelor,60215,Excellent,No,1984-09-10,2024-02-23
00-97971488,Randall,Rocha,Female,Ohio,Cincinnati,2020-06-16,Operations,Logistics Coordinator,Bachelor,60809,Good,No,1985-02-16,2021-08-26
00-29175900,Joseph,Wright,Male,New York,Rochester,2017-07-24,Sales,Sales Consultant,Bachelor,95999,Excellent,Yes,1988-09-29,2022-09-23
00-85345555,Jose,Richards,Female,New York,Buffalo,2020-11-23,Customer Service,Customer Service Representative,Bachelor,62798,Good,Yes,1983-01-09,2021-05-22
00-67503414,Reginald,Robinson,Male,North Carolina,Greensboro,2023-12-30,Operations,Logistics Coordinator,Bachelor,68699,Good,Yes,1986-06-08,2024-06-27
00-39436733,William,Davis,Male,New York,Buffalo,2024-01-18,Sales,Sales Manager,PhD,74160,Good,No,1971-09-05,2024-07-16
